"Province_State","Province_State_Subtitle","Country_Region"
"American Samoa","A M E R I C A N    S A M O A","US"
"Guam","G U A M","US"
"Northern Mariana Islands","N O R T H E R N    M A R I A N A    I S L A N D S","US"
"Puerto Rico","P U E R T O    R I C O","US"
"Virgin Islands","V I R G I N    I S L A N D S","US"
"Alabama","A L A B A M A","US"
"Alaska","A L A S K A","US"
"Arizona","A R I Z O N A","US"
"Arkansas","A R K A N S A S","US"
"California","C A L I F O R N I A","US"
"Colorado","C O L O R A D O","US"
"Connecticut","C O N N E C T I C U T","US"
"Delaware","D E L A W A R E","US"
"District of Columbia","D I S T R I C T    O F    C O L U M B I A","US"
"Florida","F L O R I D A","US"
"Georgia","G E O R G I A","US"
"Hawaii","H A W A I I","US"
"Idaho","I D A H O","US"
"Illinois","I L L I N O I S","US"
"Indiana","I N D I A N A","US"
"Iowa","I O W A","US"
"Kansas","K A N S A S","US"
"Kentucky","K E N T U C K Y","US"
"Louisiana","L O U I S I A N A","US"
"Maine","M A I N E","US"
"Maryland","M A R Y L A N D","US"
"Massachusetts","M A S S A C H U S E T T S","US"
"Michigan","M I C H I G A N","US"
"Minnesota","M I N N E S O T A","US"
"Mississippi","M I S S I S S I P P I","US"
"Missouri","M I S S O U R I","US"
"Montana","M O N T A N A","US"
"Nebraska","N E B R A S K A","US"
"Nevada","N E V A D A","US"
"New Hampshire","N E W    H A M P S H I R E","US"
"New Jersey","N E W    J E R S E Y","US"
"New Mexico","N E W    M E X I C O","US"
"New York","N E W    Y O R K","US"
"North Carolina","N O R T H    C A R O L I N A","US"
"North Dakota","N O R T H    D A K O T A","US"
"Ohio","O H I O","US"
"Oklahoma","O K L A H O M A","US"
"Oregon","O R E G O N","US"
"Pennsylvania","P E N N S Y L V A N I A","US"
"Rhode Island","R H O D E    I S L A N D","US"
"South Carolina","S O U T H    C A R O L I N A","US"
"South Dakota","S O U T H    D A K O T A","US"
"Tennessee","T E N N E S S E E","US"
"Texas","T E X A S","US"
"Utah","U T A H","US"
"Vermont","V E R M O N T","US"
"Virginia","V I R G I N I A","US"
"Washington","W A S H I N G T O N","US"
"West Virginia","W E S T    V I R G I N I A","US"
"Wisconsin","W I S C O N S I N","US"
"Wyoming","W Y O M I N G","US"
"Diamond Princess","D I A M O N D    P R I N C E S S","US"
"Grand Princess","G R A N D    P R I N C E S S","US"
