"","State","Lat","Long"
"1","Adams, IN",39.8522,-77.2865
"2","Alabama",32.3182,-86.9023
"3","Alachua, FL",29.7938,-82.4944
"4","Alameda County, CA",37.6017,-121.7195
"5","Alaska",61.3707,-152.4044
"6","American Samoa",-14.271,-170.132
"7","Anoka, MN",45.3293,-93.2197
"8","Arapahoe, CO",39.6203,-104.3326
"9","Arizona",33.7298,-111.4312
"10","Arkansas",34.9697,-92.3731
"11","Arlington, VA",38.8816,-77.091
"12","Beadle, SD",44.4797,-98.2213
"13","Bennington County, VT",43.0279,-73.135
"14","Bergen County, NJ",40.9263,-74.077
"15","Berkshire County, MA",42.3118,-73.1822
"16","Bernalillo, NM",35.0178,-106.6291
"17","Bon Homme, SD",42.9815,-97.8722
"18","Boone, IN",40.0106,-86.4997
"19","Broward County, FL",26.1901,-80.3659
"20","Bucks, PA",40.4108,-75.2479
"21","Burlington, NJ",40.0712,-74.8649
"22","Calaveras, CA",38.196,-120.6805
"23","California",36.1162,-119.6816
"24","Camden, NC",34.2465,-80.607
"25","Camden, NJ",39.9259,-75.1196
"26","Carver County, MN",44.8254,-93.7842
"27","Charles Mix, SD",43.0985,-98.3965
"28","Charleston County, SC",32.7957,-79.7848
"29","Charlotte County, FL",26.8946,-81.9098
"30","Charlton, GA",30.7917,-82.0843
"31","Chatham County, NC",35.7211,-79.1781
"32","Cherokee County, GA",34.2515,-84.4803
"33","Clark County, NV",36.0796,-115.094
"34","Clark County, WA",45.7466,-122.5194
"35","Cobb County, GA",33.8999,-84.5641
"36","Collier, FL",26.07,-81.4279
"37","Collin County, TX",33.1795,-96.493
"38","Colorado",39.0598,-105.3111
"39","Connecticut",41.5978,-72.7554
"40","Contra Costa County, CA",37.8534,-121.9018
"41","Cook County, IL",41.7377,-87.6976
"42","Cuyahoga, OH",41.4339,-81.6758
"43","Dallas, TX",32.7767,-96.797
"44","Dane, WI",43.0186,-89.5498
"45","Davidson County, TN",36.1343,-86.822
"46","Davis County, UT",40.9629,-112.0953
"47","Davison, SD",43.7242,-98.2213
"48","DeKalb, GA",33.7956,-84.2279
"49","Delaware",39.3185,-75.5071
"50","Delaware County, PA",39.9078,-75.3879
